18,64,82
19,2,3
30,37,71
55,58,53
92,37,7
1,98,60
45,81,95
98,100,34
87,19,61
97,39,35
95,14,98
87,91,13
79,30,101
59,76,21
3,23,9
94,2,23
73,84,32
82,8,36
51,94,1
51,29,7
35,81,90
5,95,16
63,2,23
70,14,38
37,56,63
50,32,11
52,66,41
1,90,88
95,18,29
24,50,90
29,66,44
43,58,42
2,97,46
25,12,45
9,2,83
54,67,93
89,7,83
11,46,93
44,88,23
57,52,79
92,43,99
81,8,17
22,87,36
20,20,72
6,62,96
47,75,11
26,88,18
25,23,54
88,76,68
90,37,63
66,5,14
80,2,73
36,13,36
31,100,57
99,44,96
6,83,42
2,39,8
5,97,29
94,93,74
60,20,87
38,92,57
81,21,50
74,85,69
35,84,47
9,83,23
41,57,71
76,46,17
85,6,16
65,2,87
3,61,37
67,69,70
43,65,93
47,50,45
4,3,16
40,5,98
1,71,18
60,17,88
5,64,91
49,45,53
54,21,12
20,47,30
51,4,87
56,60,54
79,0,19
40,72,81
92,67,85
98,5,7
94,33,52
66,6,11
69,101,41
35,65,89
29,88,20
70,21,44
34,72,86
2,70,13
87,23,63
47,97,66
54,0,35
27,4,30
92,66,3
20,19,70
97,15,67
26,69,28
64,76,5
79,98,87
64,63,85
89,49,37
25,70,32
10,42,95
51,94,68
22,69,98
100,20,8
22,46,25
12,9,5
57,20,15
15,93,2
41,72,13
20,13,13
75,25,20
29,58,99
0,38,13
68,18,17
22,39,94
59,57,8
59,101,2
